﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
OSNY;87381145;JOB;2024-01-16;2024;J;J6;De 16h à 20h;155
BELLEVUE;87393116;SAM;2024-01-20;2024;N;N;Avant 6h;10
SERMAISE;87545517;JOB;2025-04-02;2025;C;C;Avant 6h;34
MONTEREAU;87682302;SAM;2024-01-20;2024;R;R;De 10h à 16h;1256
LES-BOULLEREAUX-CHAMPIGNY;87113779;DIM;2022-03-20;2022;E;E;Après 20h;162
VILLEPINTE;87271452;SAM;2019-03-16;2019;B;B;De 10h à 16h;1114
BAGNEAUX-SUR-LOING;87684191;SAM;2024-01-20;2024;R;R;De 16h à 20h;30
COUILLY-SAINT-GERMAIN-QUINCY;87116731;DIM;2023-09-17;2023;P;P;Avant 6h;2
MONTIGNY-SUR-LOING;87684100;DIM;2024-01-21;2024;R;R;De 16h à 20h;161
CORBEIL-ESSONNES;87681007;JOB;2024-02-04;2024;D;D;De 16h à 20h;5371
PARIS-GARE-DE-LYON;87686030;JOB;2024-01-16;2024;R;R;De 10h à 16h;6272
BORAN-SUR-OISE;87276444;DIM;2024-01-21;2024;H;H;De 16h à 20h;11
MAULE;87381723;JOB;2024-01-16;2024;N;N;De 16h à 20h;161
MONTIGNY-SUR-LOING;87684100;DIM;2024-01-21;2024;R;R;De 6h à 10h;44
CORMEILLES-EN-PARISIS;87381863;SAM;2024-01-20;2024;J;J6;De 16h à 20h;864
VILLIERS-LE-BEL-GONESSE-ARNOUVILLE;87276220;DIM;2024-03-03;2024;D;D;De 10h à 16h;3994
BOUFFEMONT-MOISSELLES;87276485;DIM;2024-01-21;2024;H;H;Avant 6h;15
SEVRES-RIVE-GAUCHE;87393124;JOB;2024-01-16;2024;N;N;De 6h à 10h;689
MONTREUIL;87382879;JOB;2024-01-16;2024;L;L2;De 6h à 10h;1601
COTEAUX-DE-L'ORGE;87745794;DIM;2024-01-12;2024;T12;T12;Avant 6h;2
PARIS-EST;87113001;SAM;2023-11-18;2023;P;P;Après 20h;5391
BOUGIVAL;87382440;JOB;2024-01-16;2024;L;L2;Avant 6h;7
COULOMMIERS;87116301;JOB;2023-11-14;2023;P;P;Avant 6h;133
MORTCERF;87116244;DIM;2023-11-19;2023;P;P;Après 20h;6
LES-YVRIS-NOISY-LE-GRAND;87113803;SAM;2022-03-19;2022;E;E;De 10h à 16h;230
VILLIERS-MONTBARBIN;87116749;JOB;2023-09-19;2023;P;P;De 10h à 16h;18
BOURAY;87545178;DIM;2025-09-02;2025;C;C;Après 20h;31
MEAUX;87116103;JOB;2023-11-14;2023;P;P;De 16h à 20h;4489
MOUROUX;87116285;JOB;2023-11-14;2023;P;P;De 16h à 20h;22
LIANCOURT-SAINT-PIERRE;87381210;JOB;2024-01-16;2024;J;J6;De 6h à 10h;20
PARIS-GARE-DU-NORD;87271031;JOB;2024-01-16;2024;H;H;Avant 6h;460
BELLOY-SAINT-MARTIN;87276550;JOB;2024-01-16;2024;H;H;De 10h à 16h;61
SEVRES-VILLE-D'AVRAY;87382341;DIM;2024-01-21;2024;L;L2;De 6h à 10h;141
NANTERRE-UNIVERSITE;87386318;SAM;2024-01-20;2024;L;L3;De 10h à 16h;1686
EGLY;87545475;JOB;2025-04-02;2025;C;C;Avant 6h;56
PARIS-SAINT-LAZARE;87384008;JOB;2024-01-16;2024;J;J4;Après 20h;6747
BRETIGNY;87545194;SAM;2025-08-02;2025;C;C;De 6h à 10h;972
CREIL;87276006;JOB;2024-05-03;2024;D;D;De 10h à 16h;230
NANTERRE-UNIVERSITE;87386318;SAM;2024-01-20;2024;L;L3;De 16h à 20h;1466
EPINAY-SUR-ORGE;87545228;JOB;2025-11-02;2025;C;C;De 6h à 10h;4490
PARIS-SAINT-LAZARE;87384008;JOB;2024-01-16;2024;J;J4;De 16h à 20h;14316
BOUSSY-SAINT-ANTOINE;87682138;SAM;2024-02-03;2024;D;D;De 16h à 20h;923
MERY-SUR-OISE;87276667;JOB;2024-01-16;2024;H;H;Après 20h;48
NANTEUIL-LE-HAUDOUIN;87271577;JOB;2024-01-16;2024;K;K;Avant 6h;29
LISIERE-PEREIRE;87733683;SAM;2023-10-14;2023;T13;T13;De 10h à 16h;205
PARIS-GARE-DU-NORD;87271031;SAM;2024-01-20;2024;K;K;De 6h à 10h;89
BOIS-COLOMBES;87381079;JOB;2024-01-16;2024;J;J4;De 16h à 20h;2286
TAVERNY;87276634;JOB;2024-01-16;2024;H;H;De 6h à 10h;1248
NEMOURS-SAINT-PIERRE;87684126;SAM;2024-01-20;2024;R;R;De 16h à 20h;287
EPINAY-SUR-SEINE;87271148;DIM;2025-09-02;2025;C;C;De 16h à 20h;692
PARIS-SAINT-LAZARE;87384008;SAM;2024-01-20;2024;L;L3;Avant 6h;94
CAMP-DES-LOGES;87710939;SAM;2023-10-14;2023;T13;T13;De 16h à 20h;101
